SampleID,TreeName,Year,Treatment,Pair,Batch,PerN,mgNcapsule , d15Npermil,PerC,mgCcapsule , d13Cpermil,PerS,mgScapsule , d34Spermil
SB1_2017,SB1,2017,N,1,NCS_171212a,1.07,88,-2.39,48.61,4,-29.02,0.13,9,8.04
SB1_2016,SB1,2016,N,1,NCS_171212a,1.28,106,-3.4,51.02,4.22,-29.3,0.13,10,6.06
SB1_2015,SB1,2015,N,1,NCS_171212a,1.22,100,-3.36,51.58,4.23,-29.26,0.13,10,5.79
SB1_2014,SB1,2014,N,1,NCS_171212a,1.23,104,-3.47,51.26,4.33,-29.03,0.12,10,5.66
SB1_2013,SB1,2013,N,1,NCS_171212a,1.17,95,-3.66,51.11,4.16,-29.17,0.12,8,4.78
SB1_2012,SB1,2012,N,1,NCS_171212a,0.84,69,-3.28,50.56,4.13,-29.05,0.12,7,4.47
SB2_2017,SB2,2017,BR,1,NCS_180116a,1.26,106,-2.06,51.51,4.35,-25.17,,,
SB2_2016,SB2,2016,BR,1,NCS_180116a,1.39,112,-2.46,52.05,4.2,-25.52,,,
SB2_2015,SB2,2015,BR,1,NCS_180116a,1.26,105,-2.57,52.03,4.31,-25.54,,,
SB2_2014,SB2,2014,BR,1,NCS_180116a,1.37,112,-3.18,51.15,4.17,-25.64,,,
SB2_2013,SB2,2013,BR,1,NCS_180116a,0.99,79,-3.41,50.9,4.07,-26.93,,,
SB2_2012,SB2,2012,BR,1,NCS_180116a,0.9,76,-3.17,52.29,4.41,-27.45,,,
SB3_2017,SB3,2017,BR,2,NCS_180116a,1.29,106,-1.43,41.48,3.42,-28.35,,,
SB3_2016,SB3,2016,BR,2,NCS_180116a,1.48,126,-1.17,52.56,4.46,-28.56,,,
SB3_2015,SB3,2015,BR,2,NCS_180116a,1.23,101,-1.43,51.38,4.19,-28.13,,,
SB3_2014,SB3,2014,BR,2,NCS_180116a,1.34,111,-1.69,53.05,4.37,-28.31,,,
SB3_2013,SB3,2013,BR,2,NCS_180116a,1.16,96,-1.78,53.09,4.41,-29.03,,,
SB3_2012,SB3,2012,BR,2,NCS_180116a,0.86,73,-1.98,51.78,4.38,-29,,,
SB4_2017,SB4,2017,N,2,NCS_180116a,1.32,108,-1.45,50.75,4.17,-29.43,,,
SB4_2016,SB4,2016,N,2,NCS_180116a,1.2,99,-2.15,52.03,4.27,-29.6,,,
SB4_2015,SB4,2015,N,2,NCS_180116a,1.19,98,-2.26,55.32,4.59,-29.01,,,
SB4_2014,SB4,2014,N,2,NCS_180116a,1.21,101,-2.72,52.66,4.39,-29.06,,,
SB4_2013,SB4,2013,N,2,NCS_180116a,1.11,90,-2.5,52.55,4.28,-29.83,,,
SB4_2012,SB4,2012,N,2,NCS_180116a,0.93,77,-2.77,52.76,4.35,-29.74,,,
SB5_2017,SB5,2017,BR,3,NCS_180116a,0.92,74,-1.31,49.84,3.99,-26.83,,,
SB5_2016,SB5,2016,BR,3,NCS_180116a,1.28,103,-1.48,52.96,4.25,-27.37,,,
SB5_2015,SB5,2015,BR,3,NCS_180116a,1.05,87,-1.58,51.54,4.27,-28.17,,,
SB5_2014,SB5,2014,BR,3,NCS_180116a,1.03,85,-1.57,51.63,4.27,-28.15,,,
SB5_2013,SB5,2013,BR,3,NCS_180116a,0.95,81,-1.81,52.21,4.45,-28.19,,,
SB5_2012,SB5,2012,BR,3,NCS_180116a,0.93,79,-1.83,51.59,4.4,-28.36,,,
SB6_2017,SB6,2017,N,3,NCS_180116a,0.87,70,-1.82,51.5,4.15,-28.32,,,
SB6_2016,SB6,2016,N,3,NCS_180116a,0.91,75,-3.35,52.09,4.29,-27.79,,,
SB6_2015,SB6,2015,N,3,NCS_180116a,0.88,72,-3.71,51.14,4.2,-29.06,,,
SB6_2014,SB6,2014,N,3,NCS_180116a,0.79,63,-4.26,49.97,4.03,-28.29,,,
SB6_2013,SB6,2013,N,3,NCS_180116a,0.81,68,-4.55,51.26,4.29,-28.98,,,
SB6_2012,SB6,2012,N,3,NCS_180116a,0.78,64,-4.3,50.57,4.15,-28.78,,,
SB7_2017,SB7,2017,BR,4,NCS_180116a,1.04,85,-4.56,49.66,4.05,-26.61,,,
SB7_2016,SB7,2016,BR,4,NCS_180116a,0.86,73,-4.78,51.23,4.35,-26.91,,,
SB7_2015,SB7,2015,BR,4,NCS_180116a,0.85,69,-5.21,52.19,4.22,-27.01,,,
SB7_2014,SB7,2014,BR,4,NCS_180116a,1.43,121,-3.28,52.05,4.4,-26.54,,,
SB7_2013,SB7,2013,BR,4,NCS_180116a,0.94,74,-5.41,52.02,4.13,-28.55,,,
SB7_2012,SB7,2012,BR,4,NCS_180116a,0.8,65,-5.51,50.58,4.12,-28.63,,,
SB8_2017,SB8,2017,N,4,NCS_180117a,1.03,82,-3.45,50.3,4.02,-27.23,,,
SB8_2016,SB8,2016,N,4,NCS_180117a,1.04,89,-3.91,51.05,4.37,-27.17,,,
SB8_2015,SB8,2015,N,4,NCS_180117a,1.06,86,-3.95,51.18,4.19,-26.86,,,
SB8_2014,SB8,2014,N,4,NCS_180117a,0.98,81,-4.02,51.98,4.33,-26.47,,,
SB8_2013,SB8,2013,N,4,NCS_180117a,0.99,79,-4.12,51.91,4.16,-26.43,,,
SB8_2012,SB8,2012,N,4,NCS_180117a,0.88,72,-4.15,51.74,4.21,-27.29,,,
SB9_2017,SB9,2017,BR,5,NCS_180117a,1.17,98,-4.49,50.61,4.25,-25.98,,,
SB9_2016,SB9,2016,BR,5,NCS_180117a,1.12,90,-4.68,50.52,4.06,-26.41,,,
SB9_2015,SB9,2015,BR,5,NCS_180117a,1.03,84,-4.9,52.09,4.26,-26.85,,,
SB9_2014,SB9,2014,BR,5,NCS_180117a,0.92,78,-5,51.89,4.39,-26.26,,,
SB9_2013,SB9,2013,BR,5,NCS_180117a,0.64,51,-5.19,51.89,4.17,-26.86,,,
SB9_2012,SB9,2012,BR,5,NCS_180117a,0.57,46,-5,52.72,4.28,-27.58,,,
SB10_2017,SB10,2017,N,5,NCS_180117a,1.15,96,-4.63,50.85,4.24,-26.93,,,
SB10_2016,SB10,2016,N,5,NCS_180117a,1.13,90,-5.06,51.76,4.13,-27.38,,,
SB10_2015,SB10,2015,N,5,NCS_180117a,1.06,87,-5.17,51.97,4.28,-27.33,,,
SB10_2014,SB10,2014,N,5,NCS_180117a,0.98,83,-5.4,51.77,4.38,-26.21,,,
SB10_2013,SB10,2013,N,5,NCS_180117a,1.02,87,-5.38,51.97,4.44,-27.33,,,
SB10_2012,SB10,2012,N,5,NCS_180117a,0.86,71,-5.34,51.5,4.25,-27.42,,,
SB11_2017,SB11,2017,BR,6,NCS_180117a,1,83,-5.52,50.02,4.17,-28.98,,,
SB11_2016,SB11,2016,BR,6,NCS_180117a,1.1,91,-6.23,50.89,4.21,-29.45,,,
SB11_2015,SB11,2015,BR,6,NCS_180117a,1.18,97,-6.54,52.04,4.27,-30.15,,,
SB11_2014,SB11,2014,BR,6,NCS_180117a,1.1,92,-6.77,51.81,4.33,-29.98,,,
SB11_2013,SB11,2013,BR,6,NCS_180117a,0.99,80,-7.07,51.29,4.13,-30.18,,,
SB11_2012,SB11,2012,BR,6,NCS_180117a,0.97,80,-7.01,48.81,4.06,-30.34,,,
SB12_2017,SB12,2017,N,6,NCS_180117a,1.26,101,-5.57,50.62,4.08,-28.47,,,
SB12_2016,SB12,2016,N,6,NCS_180117a,1.2,102,-6.19,51.5,4.37,-28.58,,,
SB12_2015,SB12,2015,N,6,NCS_180117a,1.25,104,-6.13,51.82,4.3,-28.98,,,
SB12_2014,SB12,2014,N,6,NCS_180117a,0.93,79,-6.43,50.61,4.27,-28.01,,,
SB12_2013,SB12,2013,N,6,NCS_180117a,0.83,70,-6.54,51.08,4.31,-28.42,,,
SB12_2012,SB12,2012,N,6,NCS_180117a,0.68,56,-6.33,51,4.14,-28.36,,,
SB13_2017,SB13,2017,BR,100,NCS_180117a,0.99,84,-4.46,48.58,4.13,-26.18,,,
