id,year,dbh,wpbr,node1,node2,node3,avnode,neednum1,neednum2,neednum3,avnum,needlen1_mm,needlen2_mm,needlen3_mm,avlen,
SB1,2017,55.5,no,49.51,71.88,67.82,63.07,17,25,27,23,80.21,81.74,73.12,78.35666667,
SB1,2016,55.5,no,41.6,83.5,55.97,60.35666667,19,27,27,24.33333333,78.53,74.67,75.82,76.34,
SB1,2015,55.5,no,44.06,78.9,64.7,62.55333333,21,30,29,26.66666667,75.35,71.6,72.36,73.10333333,
SB1,2014,55.5,no,39.78,69.8,58.02,55.86666667,20,32,30,27.33333333,74.5,74.62,75.15,74.75666667,
SB1,2013,55.5,no,56.11,65.25,81.7,67.68666667,24,9,32,21.66666667,83.7,84.3,88.81,85.60333333,
SB1,2012,55.5,no,35.72,67.98,58.85,54.18333333,2,5,10,5.666666667,86.84,91.15,89.85,89.28,
SB1,2011,55.5,no,50.75,55.52,45.32,50.53,9,8,2,6.333333333,,,,,
SB1,2010,55.5,no,62.55,,,,,,,,,,,,
SB1,2009,55.5,no,78.25,,,,,,,,,,,,
SB1,2008,55.5,no,79.62,,,,,,,,,,,,
SB1,2007,55.5,no,76.83,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SB2,2017,39.8,yes,23.76,21.15,19.41,21.44,13,14,16,14.33333333,91.61,80.25,83.21,85.02333333,
Sb2,2016,39.8,yes,27.03,18.77,19.58,21.79333333,14,12,8,11.33333333,95.86,101.45,94.48,97.26333333,
SB2,2015,39.8,yes,31.18,23.74,23.9,26.27333333,18,16,21,18.33333333,83.44,83.28,77.07,81.26333333,
SB2,2014,39.8,yes,42.47,31.65,34.6,36.24,17,11,16,14.66666667,93.96,92.2,97.43,94.53,
SB2,2013,39.8,yes,61.83,32,64.24,52.69,27,10,0,12.33333333,106.57,108.8,98.92,104.7633333,
SB2,2012,39.8,yes,31.99,21.11,25.35,26.15,2,7,0,3,114.05,102.97,95.7,104.24,
SB2,2011,39.8,yes,17.47,17.71,17.77,17.65,0,2,0,0.666666667,,,,,
SB2,2010,39.8,yes,,,20.14,20.14,,,,,,,,,
SB2,2009,39.8,yes,,,28.64,28.64,,,,,,,,,
SB2,2008,39.8,yes,,,29.7,29.7,,,,,,,,,
SB2,2007,39.8,yes,,,50.49,50.49,,,,,,,,,
,,,,,,,,,,,,,,,,
SB3,2017,9.6,yes,79.58,40.71,14.06,44.78333333,25,20,5,16.66666667,61.41,52.93,53.66,56,
SB3,2016,9.6,yes,65.79,28.86,15.48,36.71,20,13,8,13.66666667,61.12,76.18,75.09,70.79666667,
SB3,2015,9.6,yes,53.32,32.68,42.29,42.76333333,33,24,15,24,52.8,62.92,46.85,54.19,
SB3,2014,9.6,yes,105.67,74.51,63.2,81.12666667,42,32,21,31.66666667,52.41,51.59,50.46,51.48666667,
SB3,2013,9.6,yes,153.97,104.28,35.99,98.08,37,38,12,29,68.81,66.89,71.52,69.07333333,
SB3,2012,9.6,yes,86.34,59.32,42.1,62.58666667,24,22,20,22,77.26,73.42,78.21,76.29666667,
SB3,2011,9.6,yes,106.71,57.46,67.74,77.30333333,12,25,0,12.33333333,,,,,
SB3,2010,9.6,yes,177.56,,,177.56,,,,,,,,,
SB3,2009,9.6,yes,196.73,,,196.73,,,,,,,,,
SB3,2008,9.6,yes,230.35,,,230.35,,,,,,,,,
SB3,2007,9.6,yes,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SB4,2017,11.5,no,54.49,23.93,13.65,30.69,23,15,27,21.66666667,74.07,70.65,67.35,70.69,
SB4,2016,11.5,no,71.07,46.21,47.35,54.87666667,27,15,25,22.33333333,62.03,68.32,73.02,67.79,
SB4,2015,11.5,no,61.9,39.44,13.04,38.12666667,25,22,33,26.66666667,58.7,55.18,58.81,57.56333333,
SB4,2014,11.5,no,92.68,47.56,170.61,103.6166667,28,12,31,23.66666667,65.33,69.63,68.03,67.66333333,
SB4,2013,11.5,no,81.56,93.43,161.11,112.0333333,26,29,39,31.33333333,83.93,84.28,76.2,81.47,
SB4,2012,11.5,no,73.97,77.42,148.19,99.86,16,31,37,28,71.13,81.65,86.07,79.61666667,
SB4,2011,11.5,no,,,86.33,86.33,0,15,36,17,,,,,
SB4,2010,11.5,no,,,174.1,174.1,,,,,,,,,
SB4,2009,11.5,no,,,185.85,185.85,,,,,,,,,
SB4,2008,11.5,no,,,,,,,,,,,,,
SB4,2007,11.5,no,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SB5,2017,70,yes,18.85,14.4,16.72,16.65666667,14,8,10,10.66666667,66.7,68.24,66.76,67.23333333,
SB5,2016,70,yes,13.53,19.06,15.23,15.94,12,16,15,14.33333333,70.7,73.22,68.61,70.84333333,
SB5,2015,70,yes,17.1,17.31,19.2,17.87,7,9,8,8,67.47,67.6,70.13,68.4,
SB5,2014,70,yes,15.88,13.83,11.72,13.81,14,13,9,12,74.78,74.51,70.64,73.31,
SB5,2013,70,yes,12.62,14.16,15.98,14.25333333,8,10,9,9,79.8,73.99,69.01,74.26666667,
SB5,2012,70,yes,14.55,16.17,13.44,14.72,0,5,2,2.333333333,70.36,74.91,77.23,74.16666667,
SB5,2011,70,yes,11.72,9.83,14.52,12.02333333,,,,,,,,,
SB5,2010,70,yes,10,,,10,,,,,,,,,
SB5,2009,70,yes,19.27,,,19.27,,,,,,,,,
SB5,2008,70,yes,20.26,,,20.26,,,,,,,,,
SB5,2007,70,yes,17.84,,,17.84,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SB6,2017,54.9,no,28.14,29.92,14.2,24.08666667,13,10,5,9.333333333,74.65,82.89,80.81,79.45,
SB6,2016,54.9,no,21.14,46.85,14.88,27.62333333,22,27,11,20,93.08,85.12,83.28,87.16,
SB6,2015,54.9,no,14.05,48.06,13.91,25.34,9,25,6,13.33333333,94.27,74.7,73.05,80.67333333,
SB6,2014,54.9,no,14.12,34.77,29.58,26.15666667,7,19,16,14,87.62,87.32,94.69,89.87666667,
SB6,2013,54.9,no,50.85,63.41,31.6,48.62,28,25,18,23.66666667,89.64,80.7,90.87,87.07,
SB6,2012,54.9,no,61.84,55.84,55.63,57.77,23,35,30,29.33333333,85.64,89.05,84.86,86.51666667,
SB6,2011,54.9,no,63.15,42.6,48.48,51.41,13,20,11,14.66666667,,,,,
SB6,2010,54.9,no,75.17,,,75.17,1,0,0,0.333333333,,,,,
SB6,2009,54.9,no,84.6,,,84.6,,,,,,,,,
SB6,2008,54.9,no,50.3,,,50.3,,,,,,,,,
SB6,2007,54.9,no,58.05,,,58.05,,,,,,,,,
,,,,,,,,,,,,,,,,
SB7,2017,36.5,yes,13.37,24.81,21.8,19.99333333,8,10,11,9.666666667,70.52,78.29,70.78,73.19666667,
SB7,2016,36.5,yes,27.93,34,34.2,32.04333333,2,14,6,7.333333333,64.77,59.87,62.11,62.25,
SB7,2015,36.5,yes,25.82,26.08,23.58,25.16,16,14,14,14.66666667,79.35,77.7,72.44,76.49666667,
SB7,2014,36.5,yes,29.2,47.14,46.06,40.8,12,25,18,18.33333333,77.15,83.9,80.2,80.41666667,
SB7,2013,36.5,yes,48.14,66.45,55.63,56.74,15,21,20,18.66666667,84.96,88.54,97.79,90.43,
SB7,2012,36.5,yes,64.06,76.63,64.22,68.30333333,16,19,23,19.33333333,102.04,98.83,87.47,96.11333333,
SB7,2011,36.5,yes,73.62,90.28,80.29,81.39666667,5,12,21,12.66666667,,,,,
SB7,2010,36.5,yes,63.33,80.03,76.06,73.14,,,,,,,,,
SB7,2009,36.5,yes,32.77,,76.25,54.51,,,,,,,,,
SB7,2008,36.5,yes,58.95,,81.09,70.02,,,,,,,,,
SB7,2007,36.5,yes,90.92,,,90.92,,,,,,,,,
,,,,,,,,,,,,,,,,
SB8,2017,27.9,no,22.09,23.17,25.4,23.55333333,11,11,12,11.33333333,99.39,101.81,101.74,100.98,
SB8,2016,27.9,no,21.07,19.15,14.39,18.20333333,12,10,10,10.66666667,96.29,86.44,89.18,90.63666667,
SB8,2015,27.9,no,29.33,20.63,14.49,21.48333333,15,11,8,11.33333333,74.04,78.44,72.04,74.84,
SB8,2014,27.9,no,31.51,31.13,30.99,31.21,14,14,16,14.66666667,80.01,74.26,76.17,76.81333333,
SB8,2013,27.9,no,50.62,42.33,30,40.98333333,16,22,15,17.66666667,100.75,85.64,86.48,90.95666667,
SB8,2012,27.9,no,37.82,35.3,18.28,30.46666667,11,5,4,6.666666667,112.75,101.69,113.35,109.2633333,
SB8,2011,27.9,no,34.7,31.89,29.22,31.93666667,5,8,13,8.666666667,,,,,
SB8,2010,27.9,no,39.67,,,39.67,1,3,0,1.333333333,,,,,
SB8,2009,27.9,no,33.72,,,33.72,,,,,,,,,
SB8,2008,27.9,no,46.24,,,46.24,,,,,,,,,
